R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
134;Liniger Michael;Kloten Flyers;Stürmer;50;7;60;11.67;1.20
135;Kamber Oliver;EHC Biel;Stürmer;50;9;60;15;1.20
136;Alatalo Santeri;EV Zug;Verteidiger;47;3;60;5;1.28
137;Vandermeer James;Kloten Flyers;Verteidiger;43;3;59;5.08;1.37
138;Monnet Thibaut;Fribourg-Gottéron;Stürmer;35;6;59;10.17;1.69
139;Fey Kevin;EHC Biel;Verteidiger;49;3;59;5.08;1.20
140;Berger Sven;SC Rapperswil-Jona Lakers;Verteidiger;47;1;59;1.69;1.26
141;Walsky Eric;SC Rapperswil-Jona Lakers;Stürmer;39;6;58;10.34;1.49
142;Untersander Ramon;EHC Biel;Verteidiger;42;3;58;5.17;1.38
143;Schelling Philippe;Kloten Flyers;Verteidiger;49;2;58;3.45;1.18
144;Joggi Mathias;EHC Biel;Stürmer;39;4;58;6.90;1.49
145;Corvi Enzo;HC Davos;Stürmer;40;9;58;15.52;1.45
146;Neuenschwander Caryl;Lausanne HC;Stürmer;46;4;57;7.02;1.24
147;Kienzle Lorenz;HC Lugano;Verteidiger;49;2;57;3.51;1.16
148;Berger Nils;SC Rapperswil-Jona Lakers;Stürmer;43;8;57;14.04;1.33
149;Weisskopf Dan;SC Rapperswil-Jona Lakers;Verteidiger;43;3;56;5.36;1.30
150;Helbling Timo;Fribourg-Gottéron;Verteidiger;45;2;56;3.57;1.24
151;Fritsche Dan;ZSC Lions;Stürmer;46;9;56;16.07;1.22
152;Almond Cody;Genève-Servette HC;Stürmer;20;5;56;8.93;2.80
153;Vauclair Tristan;Fribourg-Gottéron;Stürmer;42;4;55;7.27;1.31
154;Obrist Patrick;SC Rapperswil-Jona Lakers;Stürmer;36;4;55;7.27;1.53
155;Antonietti Eliot;Genève-Servette HC;Verteidiger;48;1;55;1.82;1.15
156;Olausson Niklas;EHC Biel;Stürmer;37;8;54;14.81;1.46
157;Ulmer Stefan;HC Lugano;Verteidiger;35;1;53;1.89;1.51
158;Tschantré Mathieu;EHC Biel;Stürmer;32;7;53;13.21;1.66
159;Lammer Dominic;EV Zug;Stürmer;44;5;53;9.43;1.20
